EntryID,City,Country,Action type,Description,DateAnnounced,DateEnded,Status (if known),Comments,contact info (optional),Primary news source,Additional sources,Additional sources 2,Additional sources 3,Additional sources 4
49,"Washington, DC",USA,Specific enforcement action to restrict walking & biking,"Police and NPS officials present with barriers, unsure of ticketing.","March 23, 2020",,,,,https://www.washingtonpost.com/local/crowds-couldnt-resist-the-cherry-blossoms-so-officials-posted-the-police/2020/03/23/3ad91e96-6d1f-11ea-aa80-c2470c6b2034_story.html,,,,
50,"Washington, DC",USA,Reduced transit service,Nearby Metro stations closed on top of already reduced/discouraged regional transit options,"March 23, 2020",,,,,https://www.washingtonpost.com/local/crowds-couldnt-resist-the-cherry-blossoms-so-officials-posted-the-police/2020/03/23/3ad91e96-6d1f-11ea-aa80-c2470c6b2034_story.html,,,,
51,"Gainesville, FL",USA,Other strategies: misc,walking/biking deemed 'essential activities' by executive order,"March 16, 2020",,,"""The order of March 16 was superceded first by county ordinance and then state executive order. In each case, walking and other physical activity was deemed essential activity (for example, the state executive order defines the following as essential: Participating in recreational activities (consistent with social distancing guidelines) such as walking, biking, hiking, fishing, hunting, running, or swimming (see page 19 (of 19) in Executive Order: https://floridadisaster.org/globalassets/governor-essential-services.pdf)""",,https://www.cityofgainesville.org/EmergencyManagement/CurrentEvents.aspx,,,,
52,Brussels ,Belgium,Other strategies: signal timing,"adapted >100 traffic lights to reduce waiting times for traffic (20 sec, even up to 40sec)","March 4, 2020",,,,Dimitri Strobbe (linkedIn),,,,,
53,"Chicago, IL",USA,Specific closure of walking/cycling infrastructure,"Two major multi-use trails were shut down (the Lakefront Trail and the Bloomingdale Trail); Chicago Mayor Lori bans ""long bike rides"" and ""5K runs"" threatening to arrest triathletes if they don't quit training. ","March 25, 2020",,,,,https://chicago.cbslocal.com/2020/03/25/beck-lightfoot-on-stay-at-home-order-citations-to-be-issued-parks-could-be-shut-down/,,,,
54,"Hermosa Beach, CA",USA,Specific closure of walking/cycling infrastructure,Beach & Strand (beachfront walking path) Closed,"March 25, 2020",,,,,https://www.foxla.com/news/hermosa-beach-to-close-beach-strand-this-weekend-to-protect-public-health-during-covid-19-crisis,,,,
55,"Hermosa Beach, CA",USA,Specific enforcement action to restrict walking & biking,"Private security and Police at entrance, misdomeanor fines","March 25, 2020",,,,,https://www.foxla.com/news/hermosa-beach-to-close-beach-strand-this-weekend-to-protect-public-health-during-covid-19-crisis,,,,
56,Washington State,USA,Specific closure of walking/cycling infrastructure,"All state Dept. of Natural Resources lands (state parks, trails, recreational areas) closed","March 25, 2020",,,,,https://www.king5.com/article/news/health/coronavirus/washington-state-parks-wildlife-areas-close/281-3d4ba957-1a0a-4e38-80f3-2d60d94e28a3,,,,
57,"Santa Barbara, CA",USA,Other strategies: misc,"The City of Santa Barbara's prohibition of groups of more than two in city parks and recommendation that people only exercise alone or with their families, while justifiable in terms of assuring social distancing, raise the question of the safety of outdoor exercise. Santa Barbara's restriction is also puzzling since the County of Santa Barbara, State of California, and CDC all sanction - with appropriate social distancing - outdoor exercise in groups of 10 or less. Presumably, the city detected a problem - more so than the county - with unsafe congregation in parks.","March 26, 2020",,,,,https://www.santabarbaraca.gov/gov/depts/parksrec/news/details.asp?NewsID=2130&TargetID=53,https://myemail.constantcontact.com/Current-Status-of-Local-COVID-19-Response.html?soid=1107647512184&aid=Um6Ty95ClqA,https://myemail.constantcontact.com/Current-Status-of-Local-COVID-19-Response.html?soid=1107647512184&aid=Um6Ty95ClqA,,
58,"Austin, TX",USA,Reallocated outer lane/curb space,1 lane over a bridge dedicated to walk/bike as a critical network connector,"March 30, 2020",,,,,https://mailchi.mp/austintexas/austin-mobility-news-2020-03-30?e=342f4f60ad#mctoc6,,,,
59,Los Angeles County,USA,Specific closure of walking/cycling infrastructure,"Effective immediately, LA County has ordered all beaches, beach access, beach bike paths, public trails, and trail-heads to be closed through 4.19.2020","March 27, 2020",,Temporary,,,https://www.santamonica.gov/press/2020/03/27/los-angeles-county-temporarily-closes-all-county-beaches-including-santa-monica-beach-bike-path-ocean-front-walk-and-beach-access-points-through-april-19-2020,,,,
60,"Long Beach, NY",USA,Specific closure of walking/cycling infrastructure,Closed boardwalk (3/27). Public beach remains open.,"March 27, 2020",,,,,https://patch.com/new-york/longbeach/long-beach-closes-boardwalk-due-coronavirus,,,,
61,"Long Beach, NY",USA,Specific enforcement action to restrict walking & biking,Police patrolling boardwalk to ticket violations.,"March 27, 2020",,,,,https://patch.com/new-york/longbeach/long-beach-closes-boardwalk-due-coronavirus,,,,
62,"San Francisco, CA",USA,Removed parking at urban parks,yes,"March 26, 2020",,,,,https://sfrecpark.org/AlertCenter.aspx?AID=Twin-Peaks-Road-Closed-Updated-List-of-C-16,,,,
63,"Austin, TX",USA,Closed streets to motor vehicles,"1 segment of Lou Neff rd, also (added 16 April) a portion of Riverside Dr","March 30, 2020",,,,,http://austintexas.gov/news/austin-transportation-opens-street-space-near-butler-trail-people-bicycling-and-walking-maintain-safe-physical-distance,,,,
64,"Manhattan Beach, CA",USA,Specific policy action to restrict walking & biking,Same as Hermosa Beach- neighboring city. Police are taking more enforcment in Manhattan Beach,"March 27, 2020",,,,,,,,,
65,"Redondo Beach, CA",USA,Specific closure of walking/cycling infrastructure,"Closing pedestrian path and bike lane, and even sidewalk along a seaside street","March 27, 2020",,,,,https://tbrnews.com/news/redondo-beach-closes-pier-esplanade-beach-parking-and-parks-amid/article_e6d4d89c-703b-11ea-aa42-db923b351e50.html,,,,
66,"Redondo Beach, CA",USA,Specific enforcement action to restrict walking & biking,"fines, signs telling people to go home","March 27, 2020",,,,,https://tbrnews.com/news/redondo-beach-closes-pier-esplanade-beach-parking-and-parks-amid/article_e6d4d89c-703b-11ea-aa42-db923b351e50.html,,,,
67,Budapest,Hungary,Implemented shared streets,"yes, see map linked","March 30, 2020",,Temporary,,,https://index.hu/belfold/2020/03/30/aprilistol_a_kerekparos_halozat_gyors_boviteset_tervezi_a_fovaros/,,,,
68,"Charlottesville, VA",USA,Removed parking at urban parks,yes: Tonsler & Washington (but they are in walkable and historically minority neighborhoods),"March 29, 2020",,,,,https://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/coronavirus-updates,,,,
69,"Charlottesville, VA",USA,Removed parking at trail heads,yes: McIntire & Pen parks (hard to access w/o car),"March 29, 2020",,,,,https://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/coronavirus-updates,,,,
70,Budapest,Hungary,Specific policy action to restrict walking & biking,restricting park access in some districts (from mid-March),"March 30, 2020",,Temporary,,,,,,,
71,London,England,Specific closure of walking/cycling infrastructure,"The Royal Parks has prohibited cycling within Richmond Park, due to the high numbers of people using it for recreation; exemption available for 'key workers' and children aged 12 and under","March 28, 2020",,,,,https://www.royalparks.org.uk/media-centre/press-releases/coronavirus-the-royal-parks-suspends-cycling-in-richmond-park-following-social-distancing-concerns,,,,
72,London,England,Reduced transit service,Yes; DETAILS NEEDED,"March 28, 2020",,,,,,,,,
73,"Exeter, NH",USA,Closed streets to motor vehicles,Town Select Board voted to close the parkway in Swazey Park to motor vehicles to provide more walking and bicycling space for social distancing,"March 30, 2020",,,,,https://www.seacoastonline.com/news/20200401/exeterrsquos-swasey-parkway-remains-open-but-vehicles-banned,,,,
74,Mendoza,Argentina,Removed parking at trail heads,yes; DETAILS NEEDED,"April 30, 2020",,,,,,,,,
75,"Pasadena, CA",USA,Specific closure of walking/cycling infrastructure,"Closure of 3 mile loop road around the Rose Bowl Stadium for people to walk/roll (driving still ok); UPDATE: Overturned on May 13th. Loop now closed to cars, open to walk/bike","March 30, 2020",,,,,https://www.pasadenastarnews.com/2020/03/30/pasadena-closes-rose-bowl-loop-in-response-to-coronavirus/,,,,
76,"Pasadena, CA",USA,Specific enforcement action to restrict walking & biking,CMS signage; parade barricades; Pasadena PD motorcyclists circling and warning people ,"March 30, 2020",,,,,https://www.pasadenastarnews.com/2020/03/30/pasadena-closes-rose-bowl-loop-in-response-to-coronavirus/,,,,
77,Mendoza,Argentina,Specific closure of walking/cycling infrastructure,yes: closed parks; DETAILS NEEDED,"April 30, 2020",,,,,,,,,
78,Isle of Man,England,Reduced speed limit,max speed limit on the island is now 40mph,"March 30, 2020",,,,,https://twitter.com/TweetbeatIOM/status/1243579094207520769?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1243579094207520769%7Ctwgr%5E&ref_url=http%3A%2F%2Fspaceforgosforth.com%2Fhow-are-city-transport-planners-responding-to-covid-19%2F,,,,
79,"San Francisco, CA",USA,Specific closure of walking/cycling infrastructure,"4/1-5/3 all public recreational facilities will be closed to public use, including:
playgrounds
dog parks
public picnic areas
golf courses
tennis courts
basketball courts
pools
rock walls ","March 31, 2020",,Temporary,,,https://www.sfchronicle.com/bayarea/article/New-rules-No-playgrounds-picnics-or-dog-parks-15169698.php,,,,
80,Beirut,Lebanon,Specific policy action to restrict walking & biking,outdoor physical activity no longer permitted during strict lockdown,"March 31, 2020",,,,,,,,,
81,Beirut,Lebanon,Specific enforcement action to restrict walking & biking,"Municipality police issuing fines, cases concentrated in certain parts of the city, for example, the seaside promenade, fining somewhat arbitrary","March 31, 2020",,,,,,,,,
82,Beirut,Lebanon,Reduced transit service,"all public transport (informal) banned from operation, fines to those who don't comply","March 31, 2020",,,,,,,,,
83,Lima,Peru,Specific policy action to restrict walking & biking,"Only essential travel allowed, no outdoor physical activity permitted. You have to get a permit online stating the reason of your travel, origin and destination, and get a statement from your employer or person you are taking care of. ","March 31, 2020",,,,,,,,,
84,Lima,Peru,Specific enforcement action to restrict walking & biking,Random checks for people on the street and vehicles,"March 31, 2020",,,,,,,,,
85,Lima,Peru,Reduced transit service,"All public transport (formal and informal) still allowed, but reduced service because of minimum demand","March 31, 2020",,,,,,,,,
86,"Miami Beach, FL",USA,Automated walk signals,"Most, if not all signalized intersections have been placed on pedestrian recall. This includes City, County and State roads.","March 30, 2020",,,,,https://twitter.com/BikeWalkMB/status/1244648182325403648,,,,
87,Perth,Australia,Automated walk signals,"Removed beg buttons in CBD (ped crossing signals made automatic); Only in the CBD of Perth, not across the whole City - pedestrian crossing now automated between 7am-7pm","March 30, 2020",,,,m.root@flyt.com.au,https://www.linkedin.com/feed/update/urn:li:activity:6650637410390642688/,,,,
88,"Carrboro, NC",USA,Automated walk signals,deactivated some beg buttons in downtown,"March 31, 2020",,,,zhallock@townofcarrboro.org,,,,,
89,Vienna,Austria,Reduced speed limit,"In the so-called ""meeting zone"" everyone is equal. The speed limit is 20kmh.","March 31, 2020",,,,,https://www.derstandard.at/story/2000116696121/wien-schafft-temporaere-begegnungszonen-und-oeffnet-gesperrte-strassen-fuer-fussgaenger,https://wien.orf.at/stories/3043275/,https://www.derstandard.at/story/2000116696121/wien-schafft-temporaere-begegnungszonen-und-oeffnet-gesperrte-strassen-fuer-fussgaenger,https://www.wien.gv.at/kontakte/stadtregierung/birgit-hebein.html; Nicola Zettner nicolazettner@hotmail.de,
90,Brisbane,Australia,Automated walk signals,"24/7 Automated pedestrian walk signals in high demand areas, educational stickers placed on traffic poles to explain not to push the button.","April 1, 2020",,,,,https://www.brisbane.qld.gov.au/community-and-safety/community-safety/disasters-and-emergencies/coronavirus-council-updates-and-impacts/updates-to-automatic-pedestrian-traffic-signals,,,,
91,"Cleveland, OH",USA,Closed streets to motor vehicles,"Yes, park roads; ""These additional steps will effectively turn some of our roads into 20-foot-wide trails to encourage people to spread out and provide proper distance between other park users.""","April 1, 2020",,,,,https://www.cleveland19.com/2020/04/01/cleveland-metroparks-shutting-down-roads-popular-outdoor-areas-improve-social-distancing/,,,,
92,"Dallas, TX",USA,Implemented shared streets,under consideration; DETAILS NEEDED,"April 1, 2020",,,,,https://twitter.com/TheBetterBlock/status/1245355003033849857?s=19,,,,
93,Ottawa,Canada,Other strategies: signal timing,1 April 2020: Reducing signal cycle lengths on major arterials to reduce waiting time to cross streets. ,"April 1, 2020",,,,,https://ottawa.ctvnews.ca/ottawa-adjusts-traffic-signals-as-traffic-volume-drops-by-50-during-covid-19-pandemic-1.4876816,,,,
94,Bristol,England,Implemented shared streets,official stance: 'be considerate of other people when using the city's roads and walkways',"April 2, 2020",,,,,https://www.bbc.com/news/uk-england-bristol-52118107,,,,
95,Bristol,England,Other strategies: misc,"officially unsanctioned (but condoned?) tactical urbanism effort to create ""running"" lanes w/ spraypaint on a popular street","April 2, 2020",,,,,https://www.bbc.com/news/uk-england-bristol-52118107,,,,
96,Brussels,Belgium,Closed streets to motor vehicles,"yes, 1 road (park-based)","April 2, 2020",,,,,https://twitter.com/elkevdbrandt/status/1245682700763246592,,,,
97,"Louisville, KY",USA,Closed streets to motor vehicles,"yes, in 3 parks; DETAILS NEEDED","April 8, 2020",,,,,,,,,
98,Brussels ,Belgium,Specific closure of walking/cycling infrastructure,"4 bridges on an important urban walking/cycling trail closed off. The trail itself is accessible, but people now have to cross roads without infrastructure, and get close to each other while waiting","April 2, 2020",,,,geert.vanwaeg@johanna.be,https://drive.google.com/open?id=1MZ4H8PciGKHipXGiQAPz2Al58XnhS4LB.,https://www.bruzz.be/veiligheid/voetgangersbruggen-woluwe-en-oudergem-afgesloten-averechts-effect-2020-04-02,https://www.dhnet.be/regions/bruxelles/les-cyclistes-interdits-sur-la-promenade-verte-5e85ecacd8ad581631a2f25b,,
