UID,Country,Country.region,City,Date.announced,Date.started,Date.ended,End.circumstance,Description,Initiative.name,Primary.type,Action,Function,Application,Category,Space,Time,Intensity,Scale,Infrastructure.affected,Management,Length.km,Trigger,Policy,Selection.process,Anticipated.longevity,Purpose,Strategy,Budget,Approach,Sector.type,Sources,Comments,Public.engagement,Verified.local,Date.verified,Corrected,Date.corrected,Verifier.role,Contact.info,Lessons.learned,Corrections,Perception,Mode.type,Modes,Modes.other,Partners,Governments,For.profits,Non.profits,World.region,Country.code,Country.region.code,TC.CP.2021,,,,,,OriginalUID,OriginalID,all.IDs
11,Spain,,Zaragoza,,3/13/2020,,,TC: NA. MW: Loading and unloading hours at essential businesses and services are extended to 24 hours a day 7 days a week. This reduces the stress from time pressure on these essential services.. ML: NA,Extending unloading/loading services in Zaragoza,Other mobility-related strategies,Other strategies: misc,other commerce supports,loading zones: commerce,unknown,unknown,All day every day,unknown,entire city,,unknown,,Strategic response (to fast-track previous policies),New action,Arbitrary,Temporary,Moving goods,Special permit,,Modifications to regulations,unknown,https://www.zaragoza.es/sede/portal/coronavirus/movilidad,,,,,,,,,,,,Delivery or freight,,,City of Zaragoza,1,,,Europe & Central Asia,ES,,0,,,,,,11,MW185,MW185
12,Belgium,,Leuven,,3/15/2020,,,"TC: NA. MW: Give a Day, a Belgian social cooperative, is offering ImpactDays.co as a free tool which enables towns, regions and associations to set up their own online platforms to match volunteers with the needy in the context of the coronavirus crisis. Towns and regions can customise their platform to offer appropriate services. Residents can make help requests and, by supplying their zip code, be put in touch with volunteers in their area.. ML: NA",A free tool for cities to connect volunteers with the needy,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,country,,unknown,,Reactive response (to higher contagion),New action,Input or request from community,Unknown,Moving goods,Other,,Introducing new processes,Private sector action,"https://www.leuven.be/anderen-helpen-tijdens-de-coronacrisis , https://www.impactdays.co/nl/",,,no,,,,,,,,,Active,,,Give a Day,,,1,Europe & Central Asia,BE,,0,,,,,,12,MW021,MW021
13,United States,California,Santa Monica,3/15/2020,3/15/2020,,,"TC: Buses are fare-free and rear door loading only; Light rail is free; Breeze Bike Share is fare free for up to 90 minutes per ride;. MW: In March, Santa Monica took steps to make its bicycle share collective, Breeze Bike Share, free for users. Use was made free for 90 consecutive minutes at a time per trip with an unlimited number of trips per day. This initiative ensured that community members and workers continued to have access to safe, affordable, and reliable transportation options for essential trips through this uncertain time. Because of this action, the Better Bike Share Partnership, through the People For Bikes Foundation, granted Santa Monica $10,000 on May 27 to help sustain Breeze operations at no cost to riders at a time when 10% of Santa Monica households do not have access to a vehicle and community members who depend on it, may be hesitant to ride public transit. The collective also looked into additional steps to sanitize our fleet of bicycles.. ML: NA",Unlimited free 90 minute rides in Santa Monica,Other mobility-related strategies,Other strategies: bike share,access to bikes,bike share,Financial,N/A,unknown,N/A,entire city,,unknown,,Strategic response (to fast-track previous policies),New action,Arbitrary,Unknown,Moving people,Other,,Modifications to prices,unknown,"https://www.santamonica.gov/blog/breeze-rides-continue-free-during-covid-19, https://www.santamonica.gov/coronavirus-resources#transportation",,,,,,,,jason.kligier@smgov.net,,,,Shared modes,Bicycle / e-bicycle,,"City of Santa Monica, Breeze Bike Share, Better Bike Share Partnership",1,,2,North America,US,US-CA,1,,,,,,13,MW285,"MW285, TC385"
14,United States,California,Santa Monica,3/15/2020,,,,"TC: Buses are fare-free and rear door loading only; Light rail is free; Breeze Bike Share is fare free for up to 90 minutes per ride;. MW: In March, Santa Monica took steps to make its bicycle share collective, Breeze Bike Share, free for users. Use was made free for 90 consecutive minutes at a time per trip with an unlimited number of trips per day. This initiative ensured that community members and workers continued to have access to safe, affordable, and reliable transportation options for essential trips through this uncertain time. Because of this action, the Better Bike Share Partnership, through the People For Bikes Foundation, granted Santa Monica $10,000 on May 27 to help sustain Breeze operations at no cost to riders at a time when 10% of Santa Monica households do not have access to a vehicle and community members who depend on it, may be hesitant to ride public transit. The collective also looked into additional steps to sanitize our fleet of bicycles.. ML: NA",,Other mobility-related strategies,Other strategies: fare free transit,boost transit,boost transit,Financial,N/A,unknown,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Based on demand,Unknown,Public health,Other,,N/A,unknown,https://www.santamonica.gov/coronavirus-resources#transportation,,,,,,,,jason.kligier@smgov.net,,,,,,,0,,,,North America,US,US-CA,1,,,,,,14,TC385,"TC385, MW285"
15,United States,Idaho,Boise,,3/16/2020,,,"TC: NA. MW: Valley Regional Transit (VRT) is reducing bus services and closing public facilities. They are taking steps to minimize the spread of COVID-19, including installing hand sanitizer, sanitizing buses, and ensuring physical distancing. VRT is providing updates on the operations status of services. Most senior center transportation services are suspended, and Metro Community Services is being used to provide Meals on Wheels.. ML: NA",Valley Regional Transit reduces bus services,Other mobility-related strategies,Reduced transit service,restrict transit mobility,restricted transit,Operational,N/A,All day every day,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Mobility restriction,,Modifications to services,unknown,"https://www.valleyregionaltransit.org/blog-listings/information-on-local-public-transportation-greenbike-users-regarding-covid-19-and-service-changes/ , https://www.boisestatepublicradio.org/post/valley-regional-transit-covid-19-free-rides-social-distancing-and-fogging-buses#stream/0",,,,,,,,,,,,Transit,Bus,,Valley Regional Transit,1,,,North America,US,US-ID,1,,,,,,15,MW315,MW315
16,United States,Florida,statewide,3/16/2020,,,,TC: State parks closed.. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Specific closure of walking/cycling infrastructure,restrict ped/bike mobility,restricted pedbike,Physical,"Other (parks, plazas)",All day every day,N/A,metropolitan area or county,N/A,Temporary barriers,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Urban space closure,,N/A,unknown,https://www.floridastateparks.org/,,,,,,,,,,,,,,,0,,,,North America,US,,1,,,,,,16,TC175,TC175
17,United States,Florida,statewide,3/16/2020,,,,"TC: Have heard that law enforcement is chasing people off trails, though there is a caveat that trails can be used for transportation purposes. Need verification of how that's enforced. From an FDEP letter: ""While State Parks and State Trails are closed for recreational purposes, this is not intended to limit multiuse trails as transportation corridors or limit the public’s ability to get from one place or another."". MW: NA. ML: NA",,"Legal, policy, enforcement, funding changes",Specific enforcement action to restrict walking & biking,restrict ped/bike mobility,restricted pedbike,Regulatory,"Other (parks, plazas)",unknown,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Mobility restriction,,N/A,unknown,https://www.floridastateparks.org/,,,,,,,,,,,,,,,0,,,,North America,US,,1,,,,,,17,TC026,TC026
18,United States,Florida,Gainesville,3/16/2020,,,,TC: walking/biking deemed 'essential activities' by executive order. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Other strategies: legal changes,other bike/ped supports,legal changes,Regulatory,N/A,unknown,N/A,State,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,unknown,Special permit,,N/A,unknown,https://www.cityofgainesville.org/EmergencyManagement/CurrentEvents.aspx,"""The order of March 16 was superceded first by county ordinance and then state executive order. In each case, walking and other physical activity was deemed essential activity (for example, the state executive order defines the following as essential: Participating in recreational activities (consistent with social distancing guidelines) such as walking, biking, hiking, fishing, hunting, running, or swimming (see page 19 (of 19) in Executive Order: https://floridadisaster.org/globalassets/governor-essential-services.pdf)""",,,,,,,,,,,,,,0,,,,North America,US,US-FL,1,,,,,,18,TC051,TC051
19,United States,Kentucky,Lexington,,3/16/2020,,,TC: NA. MW: The Lexington Parking Authority (LPA) announced that it will convert several paid parking spaces into “Curbside Pick-Up Only” spaces in an effort to support local restaurants and merchants in the downtown and Chevy Chase areas as the community comes together to navigate the effects of COVID-19.. ML: NA,Lexington institutes temporary loading zones for restaurants and retailers,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,Parking lane,unknown,N/A,entire city,Two or more infrastructure elements affected or removed,unknown,,Opening up after lockdown,New action,Input or request from community,Temporary,Moving goods,Change of use,,Introducing new processes,unknown,https://www.lexingtonky.gov/COVID-19/reopening-guidelines,,,,,,,,,,,,Public space,,,Lexington Parking Authority Board,1,,,North America,US,US-KY,1,,,,,,19,MW326,MW326
20,United States,Wisconsin,Milwaukee,,3/16/2020,,,TC: NA. MW: The City of Milwaukee created a temporary program to provide Carryout Zones for restaurants; any restaurant that requests an on-street Carryout Zone will be given one for no fee. Signage will be installed by the Department of Public Works within 48-72 hours of request.. ML: NA,Milwaukee institutes temporary loading zones for restaurants,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,1+ travel lanes,All day every day,N/A,one or more streets,Road space (includes bridges),Temporary barriers,,Reactive response (to higher contagion),New action,Input or request from community,Temporary,Moving goods,Change of use,,Introducing new processes,unknown,https://city.milwaukee.gov/dpw#.XrDG8JNKiHo,,,,,,,,,,,,Public space,Curb,,Milwaukee Department of Public Works,1,,,North America,US,US-WI,1,,,,,,20,MW486,MW486
21,Norway,,Oslo,,3/16/2020,,,"TC: NA. MW: Since door handles and buttons in public transport can be a concern for many who want to avoid COVID-19, the subways in Oslo now open their doors automatically at all stations.. ML: NA",Automated doors in Oslo's subway,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Automation,,Introducing new processes,unknown,https://norwaytoday.info/finance/the-subway-in-oslo-takes-coronavirus-measures-to-prevent-infection/,,,,,,,,,,,,Transit,Light-rail,,Sporveien,1,,,Europe & Central Asia,NO,,0,,,,,,21,MW159,MW159
22,United States,Oregon,Portland,3/16/2020,,,,TC: Monday-Friday 4:40-5:10pm for PE class. Residents can still drive down street but cut through traffic goes around.. MW: NA. ML: NA,,Partial street closures,Filtered/banned non-local traffic,street space for ped/bike,partial street: pedbike,Operational,Entire Roadway,Only monday-friday,Only resident vehicles allowed,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Unknown,Moving people,Change of use,,N/A,unknown,https://katu.com/features/on-your-side-at-home/portland-pe-teacher-keeps-kids-active-at-a-safe-distance-during-coronavirus-outbreak,,,,,,,,sambalto@gmail.com,,,,,,,0,,,,North America,US,US-OR,1,,,,,,22,TC013,TC013
23,United States,Oregon,Portland,3/16/2020,,,,"TC: DIY block ""opening"" from PE teacher Sam Balto. MW: NA. ML: DIY block ""opening"" from PE teacher Sam Balto; curb extension added with cones in second location",,Partial street closures,Implemented shared streets,street space for ped/bike,partial street: pedbike,Physical,Entire Roadway,unknown,No ban of any vehicles (shared space),one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,Unsanctioned,Input or request from community,Unknown,Safety,Change of use,,Modifications to or reallocation of public infrastructure,unknown,"https://docs.google.com/presentation/d/12wnnmEPpi48TYV1lKYQAgGKLoYh-IwNEkA7ArCI3j90/edit#slide=id.g817b225285_0_4 , Thread of CovidPE classes in the street https://twitter.com/CoachBalto/status/1240097979341496320?s=20 https://docs.google.com/presentation/d/12wnnmEPpi48TYV1lKYQAgGKLoYh-IwNEkA7ArCI3j90/edit",,,,,,,,sambalto@gmail.com,,,,Public space,,,0,,,,North America,US,US-OR,1,,,,,,23,ML132,"ML132, TC006"
24,United States,Georgia,statewide,,3/16/2020,,,"TC: NA. MW: Georgia House of Representatives approved a new fee on rides for hire, and required the money be spent on mass transit. Under House Bill 105, the state would impose a 50-cent fee on Uber, Lyft, taxi and limousine rides beginning April 1. The fee for shared rides would be 25 cents; the 50-cent-per-ride fee was a compromise to avoid imposing the sales tax on ride share companies.. ML: NA","Georgia introduces $0.50 ride-for-hire fee, which will be invested in mass transit","Legal, policy, enforcement, funding changes",Other strategies: legal changes,other bike/ped supports,legal changes,Regulatory,N/A,All day every day,N/A,entire city,,unknown,,Strategic response (to fast-track previous policies),New action,Arbitrary,Indefinite,Moving people,Special permit,,unknown,Public sector action,http://www.legis.ga.gov/Legislation/en-US/display/20192020/HB/105,,,,,,,,,,,,Shared rides,,,"State of Georgia, Uber, Lyft, Taxi",1,3,,North America,US,US-GA,1,,,,,,25,MW310,MW310
25,United States,Maryland,Annapolis,,3/17/2020,,,"TC: NA. MW: The City of Annapolis will no longer issue parking citations at metered spaces. As of March 17, SP-Plus, the City’s parking enforcement vendor, stopped issuing tickets. That will continue until further notice. Please note that the meters will not be bagged because this interferes with the long-term functionality of the meter by destroying the solar array that powers the units. Spaces in front of restaurants that offer curbside carryout and pickup will have 20-minute spaces reserved for customers.. ML: NA",Annapolis changes parking enforcement policies and institutes temporary loading zones,"Legal, policy, enforcement, funding changes",Other strategies: free car parking,promote cars,free car parking,Regulatory,N/A,All day every day,N/A,entire city,,unknown,,Strategic response (to fast-track previous policies),New action,Arbitrary,Temporary,Public health,Other,,Introducing new processes,unknown,https://www.annapolis.gov/CivicAlerts.aspx?AID=969,,,,,,,,,,,,Public space,,,City of Annapolis Office of the Mayor,1,,,North America,US,LR-MY,1,,,,,,26,MW334,MW334
26,Hungary,,Budapest,,3/17/2020,,,"TC: NA. MW: Budapest Mayor Gergely Karácsony announced that the city’s public bicycle sharing system, MOL Bubi, will temporarily cost a symbolic monthly price of HUF 100. Additionally, Budapesti Közlekedési Központ (BKK), Budapest’s public transit operator, will pilot online registration. As the pandemic subsides, MOL Bubi will increase monthly prices but overall rates will be lower than they were before.. ML: NA",Budapest reduces prices of its bicycle sharing system to be nearly free,Other mobility-related strategies,Other strategies: bike share,access to bikes,bike share,Financial,N/A,N/A,N/A,entire city,,unknown,,Opening up after lockdown,New action,Arbitrary,Temporary,Moving people,Other,,Modifications to prices,unknown,https://bkk.hu/2020/03/egyszerubb-mol-bubizas-jarvanyveszely-idejen-online-regisztracio-szazforintos-havidij/,,,,,,,,,,,,Shared modes,Bicycle / e-bicycle,,"City of Budapest, Budapesti Közlekedési Központ (BKK), MOL Bubi",1,2,,Europe & Central Asia,HU,,1,,,,,,27,MW095,MW095
27,United States,Illinois,Champaign,,3/17/2020,,,"TC: NA. MW: In response to the Governor’s executive order restricting on-premise consumption of food and beverage, Mayor Deborah Frank Feinen executed an emergency order to allow for temporary curbside pickup zones in downtown Champaign to help continue food and beverage services. Patrons in Champaign are now able to order and pay for a product online or by phone and have it delivered to their vehicle in designated curbside pickup locations without penalty for parking. The City will provide parking meter covers to reserve spaces within the downtown curbside pickup zones for the exclusive purposes of allowing customers to pick up pre-placed to-go curbside orders. Patrons should park in the property adjacent to the business. Curbside pickup locations are properly marked for residents and visitors.. ML: NA",Champaign institutes temporary loading zones for restaurants,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,Curb,unknown,N/A,entire city,Two or more infrastructure elements affected or removed,unknown,,Opening up after lockdown,New action,Based on demand,Temporary,Moving goods,Change of use,,Introducing new processes,unknown,https://champaignil.gov/2020/03/17/city-of-champaign-announces-curbside-pickup-zones-and-packaged-alcohol-delivery/,,,,,,,,,,,,Public space,Curb,,Champaign Office of the Mayor,1,,,North America,US,US-IL,1,,,,,,28,MW316,MW316
28,United States,Ohio,Cincinnati,,3/17/2020,,,"TC: NA. MW: In response to the spike in demand for carry-out and delivery food services throughout the city, City Council has directed the administration to work with restaurants by providing free temporary metered parking outside their doors. Cincinnati City Council approved the motion to work with restaurants to allow for the conversion of some metered spaces to temporary 'pick up/drop off' zones for the duration of the closures.. ML: Open Streets and parking lane cafe conversions",Cincinnati institutes temporary loading zones for restaurants,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,Parking lane,All day every day,N/A,unknown,Two or more infrastructure elements affected or removed,unknown,,Opening up after lockdown,New action,unknown,Temporary,Moving goods,Change of use,,Introducing new processes,unknown,https://www.cincinnati-oh.gov/police/special-events-regulations-auctions/instructions-and-guidelines-for-requesting-temporary-parking-restrictions/,,,,,,,,,,,,Public space,,,Cincinnati City Department of Transportation & Engineering (DOTE),1,,,North America,US,US-OH,1,,,,,,29,ML146,"ML146, MW413"
29,Russia,,Kazan,,3/17/2020,,,"TC: NA. MW: To prevent the spread of COVID-19 in public transport, all buses in Kazan are being decontaminated with special disinfectants before entering routes. Specially trained employees with protective equipment carry out this cleaning.. ML: NA",Disinfection of buses before entering routes,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Other,,Modifications to services,unknown,https://www.kzn.ru/napravleniya-raboty/transport/novosti/pered-vykhodom-na-marshrut-vse-kazanskie-avtobusy-obrabatyvayut-dezinfitsiruyushchimi-sredstvami/,,,,,,,,,,,,Transit,Bus,,Kazan City Municipality,1,,,Europe & Central Asia,RU,,0,,,,,,30,MW176,MW176
30,United States,California,Los Angeles,,3/17/2020,,,"TC: NA. MW: Councilwoman Monica Rodriguez’s legislation package to combat the COVID-19 outbreak and provide relief to families and businesses impacted by the pandemic include a prohibition on street vending, financial assistance to families and businesses in the 7th Council District, economic relief for restaurants, and hand sanitizing stations at bus shelters.. ML: NA",Councilwoman Monica Rodriguez introduces comprehensive measures to help families & businesses amid the COVID-19 pandemic,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,unknown,unknown,entire city,,unknown,,Anticipated response,New action,Input or request from community,Indefinite,Public health,Other,,unknown,unknown,http://www.monicarodriguez.org/councilwoman_monica_rodriguez_introduces_comprehensive_measures_to_help_families_businesses_amid_the_covid_19_pandemic,,,,,,,,,,,,Public space,Streets,,"Councilwoman Monica Rodriguez, Los Angeles City Council",1,,,North America,US,US-CA,0,,,,,,31,MW254,MW254
31,United States,Maryland,Montgomery County,,3/17/2020,,,"TC: NA. MW: Montgomery County’s Department of Transportation (MCDOT), in an effort to support restaurants that will depend on carryout orders, curbside pickup and deliveries during the COVID-19 emergency—and to also help the residents that will be using those services—last week announced that it has established “No Parking” zones in Parking Lot District areas with high concentrations of restaurants. Those zones will prevent long-term parking in spots in front of the establishment while allowing temporary “standing parking” of 15 minutes or less.. ML: NA",Montgomery County changes parking enforcement policies and institutes temporary loading zones,Curb space reallocation,Other strategies: loading zones,other commerce supports,loading zones: commerce,unknown,Parking lane,All day every day,N/A,one or more neighborhoods,,Signage (horizontal or vertical),,Opening up after lockdown,New action,Arbitrary,Temporary,Economic recovery,Change of use,,Introducing new processes,unknown,https://www2.montgomerycountymd.gov/mcgportalapps/Press_Detail.aspx?Item_ID=25045&Dept=50,,,,,,,,,,,,Public space,,,Montgomery County Department of Transportation (MCDOT),1,,,North America,US,LR-MY,1,,,,,,32,MW340,MW340
